Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,84.76,153.26,34.34,65.98,61.90,85.45,13.78,0.95,21.57,2.24,4.80,NA,NA,1.63,3.50,NA,81.54,0.51,179.21,NA,NA,118.55,735.85,-0.67
2025-01-02 00:00:00,85.17,155.12,61.50,61.27,81.37,109.05,13.90,0.97,16.90,2.24,4.85,NA,NA,1.65,3.51,NA,64.72,0.35,164.35,NA,NA,125.68,735.51,-0.62
2025-01-03 00:00:00,81.51,147.88,74.96,59.67,91.21,122.89,13.81,1.18,22.68,2.28,4.84,NA,NA,1.65,3.51,NA,59.66,0.37,149.43,NA,NA,127.10,735.37,-0.60
2025-01-04 00:00:00,90.62,152.90,85.29,66.34,103.10,137.26,13.55,1.06,18.68,2.25,4.84,NA,NA,1.65,3.51,NA,58.99,0.41,121.36,NA,NA,127.16,733.78,-0.60
2025-01-05 00:00:00,69.59,113.20,33.14,67.93,61.77,84.70,13.27,0.86,17.20,2.29,4.83,NA,NA,1.67,3.50,NA,69.50,0.39,127.29,NA,NA,120.05,733.11,-0.59
2025-01-06 00:00:00,79.51,143.63,24.37,70.49,56.03,78.19,13.35,0.83,14.80,2.23,4.80,NA,NA,1.67,3.50,NA,70.90,0.52,208.91,NA,NA,108.35,734.32,-0.60
2025-01-07 00:00:00,90.81,167.20,27.09,70.44,58.36,81.49,13.55,0.81,15.43,2.23,4.81,NA,NA,1.66,3.54,NA,64.20,0.62,273.47,NA,NA,123.33,735.64,-0.66
2025-01-08 00:00:00,92.56,189.34,50.42,64.14,73.99,99.47,16.33,0.93,18.92,2.24,4.79,NA,NA,1.63,3.52,NA,50.16,0.41,226.86,NA,NA,121.31,734.46,-0.65
2025-01-09 00:00:00,83.52,167.08,71.99,66.36,92.38,124.22,18.28,0.85,21.26,2.62,5.81,NA,NA,1.94,4.20,NA,47.95,0.36,106.75,NA,NA,126.34,735.33,-0.62
2025-01-10 00:00:00,61.60,121.56,25.79,69.64,56.67,78.76,17.14,0.76,24.61,2.19,4.87,NA,NA,1.66,3.52,NA,48.53,0.55,77.62,NA,NA,123.66,736.07,-0.61
