Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,154.99,254.17,24.73,21.98,31.78,36.84,4.45,1.02,3.09,7.18,278.30,NA,NA,NA,NA,13.24,86.15,0.42,13.31,0.00,0.00,78.98,981.39,NA
2025-01-02 00:00:00,171.64,274.26,18.74,22.27,27.08,37.16,8.11,1.14,3.24,7.98,207.66,NA,NA,NA,NA,13.29,87.03,0.41,13.35,0.00,0.00,76.18,979.42,NA
2025-01-03 00:00:00,190.16,308.72,34.80,23.30,40.66,40.50,9.96,1.37,3.34,11.89,286.27,NA,NA,NA,NA,14.27,89.71,0.33,13.57,0.00,0.00,79.34,979.79,NA
2025-01-04 00:00:00,177.17,261.52,31.05,24.39,38.21,42.80,8.36,1.37,3.83,13.45,306.37,NA,NA,NA,NA,13.95,92.30,0.90,13.68,0.00,0.00,77.12,979.78,NA
2025-01-05 00:00:00,193.95,330.59,33.98,26.32,41.62,42.95,7.85,1.18,3.82,10.93,128.19,NA,NA,NA,NA,14.28,85.55,0.96,13.88,0.00,0.00,93.35,979.23,NA
2025-01-06 00:00:00,168.32,258.86,19.20,23.76,28.16,43.91,7.86,1.05,3.95,9.02,174.59,NA,NA,NA,NA,14.43,89.26,0.55,14.33,0.01,0.50,66.39,978.56,NA
2025-01-07 00:00:00,161.09,249.21,15.93,23.80,25.60,46.36,8.74,1.02,3.60,7.11,168.88,NA,NA,NA,NA,14.31,88.74,0.56,15.12,0.00,0.00,31.33,981.46,NA
2025-01-08 00:00:00,124.75,184.83,19.72,24.15,28.87,39.31,9.63,1.03,2.53,6.82,269.41,NA,NA,NA,NA,15.30,79.56,0.52,11.48,0.00,0.00,86.77,989.81,NA
2025-01-09 00:00:00,282.96,416.46,50.55,23.42,53.39,37.12,15.24,1.18,2.04,11.29,319.82,NA,NA,NA,NA,14.79,83.04,0.53,8.06,0.00,0.00,74.44,990.23,NA
2025-01-10 00:00:00,263.39,394.79,33.78,25.09,40.82,38.95,13.65,1.25,2.35,11.39,312.11,NA,NA,NA,NA,14.17,91.57,0.73,8.66,0.00,0.00,56.36,990.12,NA
2025-01-11 00:00:00,188.49,273.42,30.95,23.86,37.85,38.92,12.28,1.36,2.27,9.41,229.60,NA,NA,NA,NA,14.42,90.05,0.79,8.78,0.05,5.00,52.57,989.95,NA
2025-01-12 00:00:00,167.97,240.75,23.70,22.38,31.18,37.57,14.87,1.38,2.22,8.90,287.02,NA,NA,NA,NA,14.95,88.30,0.35,8.83,0.00,0.00,49.28,990.46,NA
2025-01-13 00:00:00,105.73,142.24,12.95,20.88,21.58,36.22,10.69,1.24,1.75,4.67,150.18,NA,NA,NA,NA,15.37,89.24,0.43,8.83,0.00,0.00,74.43,993.10,NA
2025-01-14 00:00:00,177.05,249.54,29.45,20.99,35.10,36.38,13.21,1.54,1.92,6.08,143.95,NA,NA,NA,NA,15.15,87.44,0.43,8.80,0.00,0.00,84.67,993.99,NA
2025-01-15 00:00:00,274.62,379.36,66.27,20.81,64.94,37.30,15.23,1.63,2.79,12.96,383.43,NA,NA,NA,NA,13.91,95.77,0.53,8.51,0.01,0.50,50.30,995.31,NA
2025-01-16 00:00:00,168.10,238.99,20.48,23.86,29.34,37.04,10.91,1.39,2.10,8.04,228.41,NA,NA,NA,NA,15.59,84.15,0.47,8.89,0.01,1.00,75.21,990.34,NA
2025-01-17 00:00:00,123.22,168.16,11.86,20.73,20.65,35.68,10.42,1.25,1.64,5.24,227.29,NA,NA,NA,NA,13.47,86.24,0.45,8.81,0.00,0.00,77.71,976.32,NA
2025-01-18 00:00:00,159.83,256.67,25.07,21.30,31.68,34.69,14.42,1.49,1.96,5.61,108.69,NA,NA,NA,NA,14.37,83.79,0.30,8.85,0.00,0.00,93.84,977.80,NA
2025-01-19 00:00:00,229.46,362.29,50.71,24.48,54.22,38.37,14.09,1.44,2.65,10.26,387.59,NA,NA,NA,NA,16.77,79.57,0.30,8.56,0.00,0.00,108.91,984.07,NA
2025-01-20 00:00:00,143.08,201.17,13.04,22.83,22.73,35.64,9.16,1.29,2.14,4.53,225.96,NA,NA,NA,NA,16.66,79.01,0.30,8.39,0.00,0.00,104.88,983.72,NA
2025-01-21 00:00:00,113.83,198.79,11.16,22.17,20.84,35.35,12.01,1.25,1.89,4.35,174.85,NA,NA,NA,NA,16.13,77.65,0.30,8.56,0.00,0.00,94.69,983.21,NA
2025-01-22 00:00:00,108.12,197.38,18.18,22.67,26.84,35.37,13.58,1.30,2.13,5.26,182.76,NA,NA,NA,NA,16.13,76.21,0.30,8.52,0.00,0.00,128.98,977.28,NA
2025-01-23 00:00:00,94.46,181.92,16.65,22.93,25.71,36.15,12.74,1.22,1.93,4.21,268.64,NA,NA,NA,NA,16.90,69.23,0.30,8.49,0.00,0.00,111.24,979.68,NA
2025-01-24 00:00:00,92.38,151.08,10.68,20.83,19.75,33.82,11.31,1.22,1.42,2.78,233.74,NA,NA,NA,NA,15.89,68.18,0.32,8.77,0.00,0.00,100.24,979.46,NA
2025-01-25 00:00:00,86.54,146.42,9.81,20.68,18.97,30.59,11.25,1.24,1.37,3.12,192.90,NA,NA,NA,NA,15.17,63.60,0.57,8.76,0.00,0.00,81.90,975.10,NA
2025-01-26 00:00:00,129.83,198.54,12.67,21.51,21.73,29.06,12.32,1.30,1.43,4.26,174.57,NA,NA,NA,NA,14.37,67.75,0.48,8.82,0.00,0.00,99.41,972.64,NA
2025-01-27 00:00:00,131.74,214.05,15.39,18.92,22.57,24.74,8.82,1.15,1.84,4.51,169.31,NA,NA,NA,NA,14.10,67.46,0.51,137.30,0.65,62.50,106.43,965.21,NA
2025-01-28 00:00:00,176.08,277.69,33.65,12.37,33.95,29.19,5.66,1.11,2.27,5.53,133.38,NA,NA,NA,NA,13.70,66.94,0.49,284.24,0.00,0.00,164.47,955.00,NA
2025-01-29 00:00:00,270.36,435.08,52.66,18.50,52.62,43.94,7.11,1.23,3.23,10.61,283.40,NA,NA,NA,NA,14.78,69.27,1.27,284.68,0.00,0.00,123.33,973.50,NA
2025-01-30 00:00:00,240.54,392.48,54.56,18.20,54.27,43.48,8.26,1.20,3.26,8.88,234.28,NA,NA,NA,NA,15.59,69.69,1.16,284.96,0.00,0.00,94.58,993.90,NA
