Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,39.08,76.96,7.95,35.93,43.88,14.10,10.50,0.51,22.00,0.80,1.37,NA,NA,0.53,0.88,NA,77.46,0.94,235.51,NA,NA,54.07,936.88,-0.76
2025-01-02 00:00:00,43.57,86.19,7.87,35.58,43.46,14.15,12.14,0.53,22.92,0.86,1.47,NA,NA,0.58,0.78,NA,77.72,0.96,228.42,NA,NA,54.51,939.11,-0.76
2025-01-03 00:00:00,44.87,85.02,7.85,35.86,43.71,14.03,15.42,0.58,24.85,0.88,1.51,NA,NA,0.60,0.77,NA,76.73,0.90,238.80,NA,NA,53.40,937.05,-0.76
2025-01-04 00:00:00,39.12,86.30,7.11,32.69,39.81,13.68,17.34,0.56,26.12,0.92,1.57,NA,NA,0.62,0.81,NA,78.79,0.96,216.04,NA,NA,51.36,939.61,-0.77
2025-01-05 00:00:00,43.43,87.38,7.64,34.75,42.39,14.37,17.31,0.58,26.08,0.97,1.67,NA,NA,0.67,0.76,NA,77.55,0.86,222.88,NA,NA,52.74,939.03,-0.76
2025-01-06 00:00:00,49.65,93.85,7.14,33.18,40.32,13.79,15.70,0.61,24.08,0.95,1.63,NA,NA,0.65,0.67,NA,76.63,0.89,189.37,NA,NA,211.99,928.31,-0.77
2025-01-07 00:00:00,40.50,92.74,21.60,22.00,40.14,14.52,13.65,0.65,22.34,0.89,1.52,NA,NA,0.60,0.71,NA,78.28,0.82,180.13,NA,NA,206.79,916.46,-0.80
2025-01-08 00:00:00,26.04,98.88,49.46,5.02,44.48,14.87,7.37,0.60,22.69,0.78,1.32,NA,NA,0.51,0.94,NA,66.27,0.88,199.29,NA,NA,21.00,911.46,-0.79
2025-01-09 00:00:00,33.58,118.90,41.36,6.03,37.40,13.24,1.14,0.57,22.44,0.78,1.33,NA,NA,0.51,0.97,NA,79.79,1.03,196.85,NA,NA,24.96,918.07,-0.14
2025-01-10 00:00:00,32.01,123.18,47.08,4.22,41.30,14.89,1.65,0.53,21.17,0.89,1.52,NA,NA,0.60,0.87,NA,NA,1.02,212.04,NA,NA,26.31,893.87,0.87
