Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,45.84,118.50,13.38,15.61,28.26,30.28,10.13,0.71,50.48,1.89,2.09,NA,NA,NA,NA,NA,66.03,0.39,185.65,NA,NA,144.28,NA,NA
2025-01-02 00:00:00,50.93,120.17,13.09,14.95,27.34,30.46,11.18,0.79,49.20,1.90,2.10,NA,NA,NA,NA,NA,65.57,0.29,238.61,NA,NA,153.82,NA,NA
2025-01-03 00:00:00,32.12,44.76,10.45,14.26,23.20,29.97,16.79,1.11,47.71,1.75,1.93,NA,NA,NA,NA,NA,66.12,0.24,216.89,NA,NA,165.99,NA,NA
2025-01-04 00:00:00,21.55,44.54,10.38,13.98,23.85,30.02,11.73,0.79,48.80,1.82,2.01,NA,NA,NA,NA,NA,65.56,0.43,202.49,NA,NA,176.82,NA,NA
2025-01-05 00:00:00,37.59,123.23,10.02,13.65,23.67,30.25,12.68,0.81,49.00,1.90,2.10,NA,NA,NA,NA,NA,65.47,0.59,202.21,NA,NA,179.17,NA,NA
2025-01-06 00:00:00,28.83,80.32,16.53,18.97,32.57,31.09,12.16,0.85,52.34,1.90,2.10,NA,NA,NA,NA,NA,65.58,0.35,201.61,NA,NA,174.43,NA,NA
2025-01-07 00:00:00,63.81,165.53,14.05,15.66,27.91,30.59,12.48,0.85,50.68,1.86,2.06,NA,NA,NA,NA,NA,65.80,0.38,198.37,NA,NA,176.34,NA,NA
2025-01-08 00:00:00,59.86,152.63,17.51,18.12,32.66,30.69,10.41,0.69,51.29,1.89,2.09,NA,NA,NA,NA,NA,65.28,0.27,187.97,NA,NA,172.25,NA,NA
2025-01-09 00:00:00,78.09,189.64,14.41,15.45,28.24,30.39,12.64,0.86,49.52,1.78,1.98,NA,NA,NA,NA,NA,65.47,0.37,213.13,NA,NA,163.76,NA,NA
2025-01-10 00:00:00,76.33,158.34,11.56,15.30,26.47,31.16,10.53,0.63,50.44,1.86,2.07,NA,NA,NA,NA,NA,65.35,0.49,231.64,NA,NA,158.03,NA,NA
