Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,54.78,128.04,11.58,7.38,13.82,31.86,11.91,0.58,13.97,7.04,NA,NA,NA,NA,NA,NA,72.73,0.81,282.99,NA,NA,103.95,752.50,0.37
2025-01-02 00:00:00,71.83,189.24,11.43,5.77,12.93,26.46,12.38,0.43,13.25,7.61,NA,NA,NA,NA,NA,NA,82.60,0.75,259.82,NA,NA,145.72,752.21,0.32
2025-01-03 00:00:00,74.03,203.83,13.06,8.54,14.03,14.74,10.75,0.51,24.95,7.09,NA,NA,NA,NA,NA,NA,86.25,0.82,226.17,NA,NA,112.40,751.90,0.27
2025-01-04 00:00:00,88.86,216.91,30.52,25.99,27.64,15.85,10.74,0.42,24.91,7.07,NA,NA,NA,NA,NA,NA,90.26,1.04,117.70,NA,NA,126.28,750.65,-0.02
2025-01-05 00:00:00,67.33,189.67,30.74,25.36,27.33,15.07,10.76,0.45,24.86,7.02,NA,NA,NA,NA,NA,NA,95.62,0.94,139.71,NA,NA,86.27,750.52,-0.17
2025-01-06 00:00:00,71.05,180.57,24.22,18.67,26.42,14.62,11.29,0.38,24.90,7.05,NA,NA,NA,NA,NA,NA,93.49,0.76,200.87,NA,NA,138.73,749.69,-1.67
2025-01-07 00:00:00,96.46,152.24,17.25,6.61,26.58,15.22,10.79,0.42,24.90,7.06,NA,NA,NA,NA,NA,NA,95.43,0.94,252.46,NA,NA,86.21,750.56,-0.14
2025-01-08 00:00:00,84.49,148.20,23.47,22.82,21.07,15.53,10.74,0.49,24.96,7.09,NA,NA,NA,NA,NA,NA,81.06,1.02,214.65,NA,NA,113.04,749.49,0.55
2025-01-09 00:00:00,114.94,270.86,22.78,29.46,25.78,35.33,10.79,0.66,25.40,7.06,NA,NA,NA,NA,NA,NA,81.49,0.91,187.48,NA,NA,134.05,752.75,0.10
2025-01-10 00:00:00,148.38,317.55,20.20,36.17,36.69,47.33,10.72,0.56,24.71,7.05,NA,NA,NA,NA,NA,NA,78.48,0.80,179.13,NA,NA,157.72,754.44,-0.02
2025-01-11 00:00:00,149.88,347.56,20.20,36.07,36.70,47.55,11.45,0.46,24.94,7.07,NA,NA,NA,NA,NA,NA,73.91,1.53,93.46,NA,NA,161.10,752.59,0.77
2025-01-12 00:00:00,103.93,191.42,20.14,36.20,36.40,47.09,10.81,0.44,24.36,7.06,NA,NA,NA,NA,NA,NA,80.86,1.37,112.05,NA,NA,119.77,751.97,0.87
2025-01-13 00:00:00,96.91,179.33,20.23,36.09,36.60,47.54,10.77,0.52,24.98,7.06,NA,NA,NA,NA,NA,NA,89.30,1.07,178.93,NA,NA,152.17,751.01,0.05
2025-01-14 00:00:00,97.37,142.17,30.13,25.65,28.87,23.41,11.19,0.60,22.41,7.14,NA,NA,NA,NA,NA,NA,89.19,1.01,178.34,NA,NA,141.39,752.55,-0.68
2025-01-15 00:00:00,98.86,159.45,20.17,37.25,36.41,47.22,3.48,0.44,24.51,7.09,NA,NA,NA,NA,NA,NA,91.49,0.98,156.33,NA,NA,158.91,755.62,-0.13
2025-01-16 00:00:00,94.64,159.18,20.25,37.09,36.37,47.42,4.70,0.51,24.88,7.07,NA,NA,NA,NA,NA,NA,89.08,0.88,185.13,NA,NA,141.48,754.96,0.81
2025-01-17 00:00:00,73.90,111.32,20.21,37.06,36.41,47.33,4.73,0.50,24.96,7.10,NA,NA,NA,NA,NA,NA,75.28,0.84,210.82,NA,NA,203.18,752.77,-0.11
2025-01-18 00:00:00,70.22,116.75,20.24,36.97,36.54,46.95,3.50,0.54,24.92,7.06,NA,NA,NA,NA,NA,NA,91.39,0.98,197.92,NA,NA,135.94,750.72,0.02
2025-01-19 00:00:00,61.73,104.07,20.28,37.11,36.22,47.38,6.00,0.50,35.75,7.04,NA,NA,NA,NA,NA,NA,76.19,0.92,199.52,NA,NA,208.20,750.39,-0.42
2025-01-20 00:00:00,79.35,124.09,20.23,37.11,36.45,47.57,4.61,0.47,41.79,7.07,NA,NA,NA,NA,NA,NA,73.71,1.04,200.08,NA,NA,162.72,746.25,0.43
2025-01-21 00:00:00,94.19,140.00,26.61,33.66,39.31,31.93,5.69,0.50,41.78,7.04,NA,NA,NA,NA,NA,NA,70.25,1.02,203.98,NA,NA,156.65,745.52,0.48
2025-01-22 00:00:00,104.17,160.32,20.31,46.57,51.19,47.54,6.80,0.60,41.81,7.07,NA,NA,NA,NA,NA,NA,64.12,0.85,217.13,NA,NA,169.20,746.32,0.46
2025-01-23 00:00:00,109.08,187.38,19.14,40.26,46.94,47.19,3.93,0.42,41.90,7.11,NA,NA,NA,NA,NA,NA,76.85,0.78,170.33,NA,NA,165.77,747.52,0.05
2025-01-24 00:00:00,89.73,121.77,20.32,36.21,46.56,47.54,4.53,0.48,41.85,7.07,NA,NA,NA,NA,NA,NA,57.60,0.97,224.89,NA,NA,164.09,747.05,0.64
2025-01-25 00:00:00,79.63,111.11,20.06,33.57,45.78,46.92,4.04,0.55,41.89,7.05,NA,NA,NA,NA,NA,NA,47.90,1.05,235.54,NA,NA,162.23,747.44,0.65
2025-01-26 00:00:00,89.00,124.92,17.83,35.83,36.45,47.03,4.94,0.52,41.75,7.05,NA,NA,NA,NA,NA,NA,46.66,0.84,249.44,NA,NA,153.97,747.53,0.54
2025-01-27 00:00:00,109.53,168.38,16.37,34.37,36.29,46.83,4.67,0.54,30.86,7.24,NA,NA,NA,NA,NA,NA,56.96,0.92,219.56,NA,NA,155.61,745.68,0.44
2025-01-28 00:00:00,115.11,214.22,18.54,34.73,36.43,47.41,7.68,0.58,24.86,7.04,NA,NA,NA,NA,NA,NA,57.68,0.69,171.36,NA,NA,150.96,746.07,0.28
2025-01-29 00:00:00,145.20,322.52,28.09,46.50,36.45,47.70,9.58,0.56,24.89,7.05,NA,NA,NA,NA,NA,NA,64.04,1.09,158.38,NA,NA,155.62,748.23,0.63
