Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,32.46,76.78,6.77,7.66,10.88,9.49,NA,0.19,52.89,0.16,NA,NA,NA,0.93,1.21,52.78,86.32,0.57,156.84,NA,0.00,NA,999.90,NA
2025-01-02 00:00:00,30.23,72.56,6.33,7.55,10.33,9.46,NA,0.19,59.13,0.16,NA,NA,NA,0.71,1.05,52.58,85.62,1.34,223.90,NA,0.00,NA,999.90,NA
2025-01-03 00:00:00,23.54,59.52,6.25,8.88,11.58,9.38,NA,0.19,58.25,0.16,NA,NA,NA,0.91,1.08,51.73,78.44,1.76,241.41,NA,0.00,NA,999.90,NA
2025-01-04 00:00:00,25.09,63.97,6.22,11.94,14.61,9.36,NA,0.19,64.57,0.16,NA,NA,NA,0.77,0.99,52.49,84.48,2.29,251.09,NA,0.00,NA,999.90,NA
2025-01-05 00:00:00,34.32,93.61,6.16,16.24,18.85,9.43,NA,0.19,71.01,0.16,NA,NA,NA,0.89,1.00,53.09,86.87,1.59,212.80,NA,0.00,NA,999.90,NA
2025-01-06 00:00:00,34.56,90.51,6.76,12.94,16.14,9.37,12.73,0.19,57.63,0.16,NA,NA,NA,0.78,0.99,52.98,86.42,2.11,212.90,NA,0.00,NA,999.90,NA
2025-01-07 00:00:00,34.02,85.71,7.98,11.26,16.39,9.07,12.25,0.18,63.25,0.17,NA,NA,NA,0.63,1.15,52.92,84.26,1.60,218.60,NA,0.00,NA,999.90,NA
2025-01-08 00:00:00,35.60,92.11,10.29,12.84,23.13,7.89,10.65,0.16,41.96,0.15,NA,NA,NA,0.85,1.08,53.63,80.59,1.22,198.22,NA,0.00,NA,999.90,NA
2025-01-09 00:00:00,32.65,83.26,9.87,10.68,20.55,7.41,10.02,0.15,45.17,0.15,NA,NA,NA,0.73,1.02,53.71,73.55,1.57,197.64,NA,0.00,NA,999.90,NA
2025-01-10 00:00:00,34.62,81.78,10.93,12.81,23.74,7.17,9.52,0.14,43.87,0.16,NA,NA,NA,0.75,0.89,53.38,76.85,1.75,226.12,NA,0.00,NA,999.90,NA
2025-01-11 00:00:00,38.18,93.52,10.88,10.46,21.34,7.57,NA,NA,NA,0.16,NA,NA,NA,0.68,1.12,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-12 00:00:00,35.21,93.29,11.47,11.83,23.30,7.72,NA,NA,NA,0.15,NA,NA,NA,0.76,0.97,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-13 00:00:00,36.10,96.26,10.50,11.48,21.98,7.77,10.75,0.16,NA,0.16,NA,NA,NA,0.84,0.89,53.24,78.16,0.58,185.10,NA,0.00,NA,999.90,NA
2025-01-14 00:00:00,37.81,97.64,11.28,12.00,23.27,8.04,10.84,0.16,2.38,0.16,NA,NA,NA,0.66,0.87,52.88,85.83,0.95,195.30,NA,0.00,NA,999.90,NA
2025-01-15 00:00:00,41.39,105.67,11.88,15.54,27.42,8.42,11.39,0.17,1.60,0.14,NA,NA,NA,0.67,0.98,52.48,91.83,0.87,148.10,NA,0.00,NA,999.90,NA
2025-01-16 00:00:00,43.94,114.82,12.70,14.57,27.27,8.14,10.97,0.16,0.56,0.17,NA,NA,NA,0.84,1.05,51.91,89.29,0.64,125.52,NA,0.00,NA,999.90,NA
2025-01-17 00:00:00,39.30,98.84,12.32,11.07,23.38,8.14,11.03,0.16,0.25,0.15,NA,NA,NA,0.70,1.03,52.39,84.45,0.67,153.06,NA,0.00,NA,999.90,NA
2025-01-18 00:00:00,34.48,87.39,10.46,10.49,20.95,8.11,10.96,0.16,0.07,0.16,NA,NA,NA,0.78,0.96,53.78,72.90,0.61,152.30,NA,0.00,NA,999.90,NA
2025-01-19 00:00:00,34.96,84.53,11.34,9.24,20.58,7.51,10.14,0.15,0.06,0.17,NA,NA,NA,0.88,1.07,54.25,81.97,1.28,182.36,NA,0.00,NA,999.90,NA
2025-01-20 00:00:00,34.50,86.03,11.46,9.94,21.40,7.54,10.17,0.15,0.07,0.15,NA,NA,NA,0.81,1.00,54.64,82.47,0.86,152.85,NA,0.00,NA,999.90,NA
2025-01-21 00:00:00,35.19,89.86,11.90,13.68,25.58,7.79,10.52,0.16,0.01,0.16,NA,NA,NA,0.82,0.85,54.69,82.00,0.94,170.57,NA,0.00,NA,999.90,NA
2025-01-22 00:00:00,40.08,109.99,13.36,20.94,34.30,8.34,11.25,0.17,NA,0.15,NA,NA,NA,0.60,0.92,54.31,85.83,0.74,170.26,NA,0.00,NA,999.90,NA
2025-01-23 00:00:00,36.56,102.65,12.47,16.45,28.92,8.22,10.90,0.16,NA,0.16,NA,NA,NA,0.60,1.21,55.24,84.41,0.95,135.73,NA,0.00,NA,999.90,NA
2025-01-24 00:00:00,33.41,90.80,12.98,14.51,27.49,8.17,11.03,0.16,NA,0.16,NA,NA,NA,0.73,1.16,54.45,82.72,0.99,174.98,NA,0.00,NA,999.90,NA
2025-01-25 00:00:00,42.11,105.40,12.76,17.60,30.37,8.86,12.01,0.18,0.56,0.16,NA,NA,NA,0.62,1.05,54.01,86.45,0.74,183.31,NA,0.00,NA,999.90,NA
2025-01-26 00:00:00,36.04,107.29,12.73,15.37,28.10,8.68,11.73,0.17,0.64,0.15,NA,NA,NA,0.74,1.05,54.39,85.42,0.75,177.63,NA,0.00,NA,999.90,NA
2025-01-27 00:00:00,35.27,96.66,13.21,20.64,33.85,8.80,11.86,0.18,0.07,0.18,NA,NA,NA,0.87,1.06,54.63,86.44,0.82,167.77,NA,0.00,NA,999.90,NA
2025-01-28 00:00:00,28.12,74.72,13.36,19.69,33.06,7.97,10.71,0.16,NA,0.17,NA,NA,NA,0.80,1.10,54.56,86.17,1.12,148.80,NA,0.00,NA,999.90,NA
2025-01-29 00:00:00,22.84,58.11,12.15,11.54,23.68,7.37,9.99,0.15,NA,0.16,NA,NA,NA,0.68,0.97,55.02,82.44,1.16,199.44,NA,0.00,NA,999.90,NA
2025-01-30 00:00:00,31.34,83.83,13.93,15.14,29.07,8.04,10.83,0.16,NA,0.15,NA,NA,NA,0.74,1.03,54.39,88.17,1.38,149.38,NA,0.00,NA,999.90,NA
2025-01-31 00:00:00,23.35,65.38,13.39,12.88,26.27,7.46,10.09,0.15,NA,0.15,NA,NA,NA,0.75,1.09,54.35,83.13,1.05,167.15,NA,0.00,NA,999.90,NA
2025-02-01 00:00:00,24.89,72.46,13.39,10.57,23.97,7.62,10.30,0.15,NA,0.15,NA,NA,NA,0.58,0.81,53.54,85.63,0.99,127.46,NA,0.00,NA,999.90,NA
2025-02-02 00:00:00,29.29,88.64,13.35,16.21,29.56,7.70,10.41,0.15,NA,0.16,NA,NA,NA,0.77,1.24,53.35,81.82,0.96,165.21,NA,0.00,NA,999.90,NA
2025-02-03 00:00:00,28.00,80.59,13.12,13.77,26.89,7.69,10.37,0.15,NA,0.16,NA,NA,NA,0.72,0.91,53.41,85.70,1.02,146.96,NA,0.00,NA,999.90,NA
2025-02-04 00:00:00,27.12,75.11,12.83,12.61,25.43,7.63,10.29,0.15,NA,0.15,NA,NA,NA,0.66,1.02,53.27,85.39,0.89,166.68,NA,0.00,NA,999.90,NA
2025-02-05 00:00:00,26.66,79.65,13.33,14.76,28.09,7.45,10.03,0.15,NA,0.16,NA,NA,NA,0.63,0.89,53.01,78.24,0.94,158.17,NA,0.00,NA,999.90,NA
2025-02-06 00:00:00,31.30,86.72,16.36,17.31,33.61,8.47,11.38,0.17,NA,0.16,NA,NA,NA,0.79,1.01,54.17,82.70,0.95,150.18,NA,0.00,NA,999.90,NA
2025-02-07 00:00:00,36.72,107.29,14.14,18.52,32.66,9.77,13.17,0.19,NA,0.16,NA,NA,NA,0.75,0.92,54.48,80.53,0.66,199.88,NA,0.00,NA,999.90,NA
2025-02-08 00:00:00,33.69,87.70,13.30,14.13,27.43,9.67,13.03,0.19,NA,0.16,NA,NA,NA,0.70,1.35,53.70,81.20,0.69,204.30,NA,0.00,NA,999.90,NA
2025-02-09 00:00:00,30.40,85.03,13.80,18.43,32.23,9.38,12.69,0.19,NA,0.14,NA,NA,NA,0.72,0.96,53.22,79.34,0.74,200.20,NA,0.00,NA,999.90,NA
2025-02-10 00:00:00,27.78,71.93,14.73,19.72,34.45,8.86,11.99,0.18,NA,0.17,NA,NA,NA,0.75,1.06,52.55,79.53,0.82,188.01,NA,0.00,NA,999.90,NA
2025-02-11 00:00:00,32.16,85.85,14.82,17.70,32.53,8.71,11.78,0.18,NA,0.14,NA,NA,NA,0.70,0.66,52.73,80.28,1.51,186.95,NA,0.00,NA,999.90,NA
2025-02-12 00:00:00,31.91,85.34,16.39,17.78,34.17,8.31,11.21,0.17,NA,0.17,NA,NA,NA,0.82,0.76,51.33,80.96,1.29,206.03,NA,0.00,NA,999.90,NA
2025-02-13 00:00:00,27.47,71.10,16.65,11.00,27.65,8.53,11.41,0.17,NA,0.17,NA,NA,NA,0.87,0.97,51.53,79.03,1.24,206.15,NA,0.00,NA,999.90,NA
2025-02-14 00:00:00,26.70,80.43,14.50,15.37,29.87,9.47,12.78,0.19,NA,0.15,NA,NA,NA,0.62,0.85,53.23,73.64,1.63,258.91,NA,0.00,NA,999.90,NA
2025-02-15 00:00:00,28.05,85.67,15.81,20.58,36.40,8.92,12.04,0.18,NA,0.16,NA,NA,NA,0.64,1.06,54.19,75.15,2.20,263.91,NA,0.00,NA,999.90,NA
2025-02-16 00:00:00,29.88,79.91,16.30,19.33,35.63,8.37,11.29,0.17,NA,0.15,NA,NA,NA,0.61,0.90,54.95,73.83,1.76,241.48,NA,0.00,NA,999.90,NA
2025-02-17 00:00:00,23.63,61.14,19.29,15.06,34.34,7.57,10.20,0.15,NA,0.16,NA,NA,NA,0.81,0.78,54.99,76.26,1.98,276.85,NA,0.00,NA,999.90,NA
2025-02-18 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-19 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-02-20 00:00:00,32.78,97.22,11.56,21.53,33.08,13.24,17.73,0.26,NA,0.15,NA,NA,NA,0.97,1.10,56.20,71.68,0.60,168.22,NA,0.00,NA,999.90,NA
2025-02-21 00:00:00,26.36,74.44,15.32,16.72,32.04,9.80,13.20,0.19,NA,0.15,NA,NA,NA,0.89,1.11,55.96,71.43,1.11,167.55,NA,0.00,NA,999.90,NA
2025-02-22 00:00:00,27.58,84.54,15.53,20.34,35.87,11.42,15.29,0.22,NA,0.17,NA,NA,NA,0.81,0.86,56.22,71.29,1.30,227.12,NA,0.00,NA,999.90,NA
2025-02-23 00:00:00,26.53,78.99,15.57,17.24,32.80,9.08,12.32,0.18,NA,0.15,NA,NA,NA,0.79,1.01,56.31,72.74,1.38,218.65,NA,0.00,NA,999.90,NA
2025-02-24 00:00:00,25.07,68.98,17.01,15.48,32.49,11.28,15.43,0.24,NA,0.15,NA,NA,NA,0.63,1.19,54.74,68.64,1.61,249.65,NA,0.00,NA,999.90,NA
2025-02-25 00:00:00,27.66,86.01,17.64,19.74,37.38,10.55,14.15,0.21,NA,0.15,NA,NA,NA,0.95,1.21,55.45,67.31,1.51,211.83,NA,0.00,NA,999.90,NA
2025-02-26 00:00:00,28.08,59.88,14.87,16.18,31.05,7.67,10.33,0.15,NA,0.15,NA,NA,NA,0.60,1.00,54.61,67.32,1.25,153.40,NA,0.00,NA,999.90,NA
2025-02-27 00:00:00,33.34,NA,13.44,19.17,32.62,7.85,10.64,0.16,NA,0.15,NA,NA,NA,0.83,0.84,53.09,68.83,0.77,186.93,NA,0.00,NA,999.90,NA
2025-02-28 00:00:00,37.89,109.44,16.29,24.12,40.41,9.57,12.97,0.19,0.02,0.16,NA,NA,NA,0.69,0.94,53.33,77.24,1.00,252.66,NA,0.00,NA,999.90,NA
2025-03-01 00:00:00,30.70,106.67,15.83,27.14,42.97,11.07,15.87,0.24,NA,0.16,NA,NA,NA,0.81,0.90,54.88,65.72,0.41,208.88,NA,0.00,NA,999.90,NA
2025-03-02 00:00:00,27.50,92.32,17.28,19.96,37.24,10.52,14.08,0.21,NA,0.15,NA,NA,NA,1.11,1.02,54.62,76.05,1.61,210.58,NA,0.00,NA,999.90,NA
2025-03-03 00:00:00,28.48,82.04,18.29,21.21,39.50,10.95,10.18,0.15,NA,0.16,NA,NA,NA,0.81,1.22,53.39,95.15,1.04,149.73,NA,0.00,NA,999.90,NA
2025-03-04 00:00:00,28.26,127.59,20.55,26.64,47.20,17.09,32.30,0.49,NA,0.15,NA,NA,NA,0.81,1.09,54.28,71.40,0.37,143.64,NA,0.00,NA,999.90,NA
2025-03-05 00:00:00,24.78,93.87,20.16,21.58,41.74,13.71,18.27,0.27,NA,0.17,NA,NA,NA,0.81,1.07,54.21,68.71,1.35,224.66,NA,0.00,NA,999.90,NA
