Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,48.55,99.01,12.69,43.77,33.48,29.82,12.62,1.11,34.67,6.89,4.86,NA,NA,0.16,0.24,20.71,81.14,0.61,184.74,0.00,0.00,51.18,1013.56,0.02
2025-01-02 00:00:00,57.05,100.35,13.72,48.87,37.02,30.60,9.22,1.20,32.19,8.55,6.06,NA,NA,0.19,0.27,19.90,84.36,0.65,193.31,0.00,0.00,51.13,1013.76,0.03
2025-01-03 00:00:00,75.71,138.02,24.61,58.27,50.97,33.72,11.76,1.52,35.49,12.09,10.27,NA,NA,0.44,0.46,19.82,84.68,0.60,179.99,0.00,0.00,52.12,1013.78,0.03
2025-01-04 00:00:00,87.86,147.92,19.05,54.81,44.48,32.19,8.54,1.56,30.42,12.69,7.42,NA,NA,0.22,0.30,21.11,79.54,0.59,196.82,0.00,0.00,51.30,1012.18,0.02
2025-01-05 00:00:00,77.90,126.97,17.12,48.62,39.64,31.12,4.51,1.65,25.32,16.29,6.43,NA,NA,0.17,0.24,21.21,79.12,0.52,182.43,0.00,0.00,51.14,1012.79,0.02
2025-01-06 00:00:00,70.65,117.02,32.77,56.72,56.63,34.89,9.57,1.78,32.18,16.33,9.19,NA,NA,0.28,0.37,21.37,78.48,0.50,213.04,0.00,0.00,49.46,1011.77,-0.01
2025-01-07 00:00:00,67.37,109.41,10.80,50.06,35.28,30.21,9.72,1.59,27.59,10.64,6.29,NA,NA,0.16,0.24,22.80,72.78,0.57,221.08,0.00,0.00,51.42,1010.82,0.03
2025-01-08 00:00:00,52.78,93.41,6.42,33.55,22.99,27.52,9.48,1.23,45.64,8.04,4.59,NA,NA,0.13,0.21,20.96,80.14,0.60,154.57,0.00,0.00,51.00,1012.88,0.03
2025-01-09 00:00:00,57.49,135.93,14.30,46.07,36.01,30.36,8.04,1.46,42.34,9.24,10.36,NA,NA,0.18,0.24,20.51,81.94,0.68,108.30,0.00,0.00,49.67,1015.46,0.03
2025-01-10 00:00:00,68.90,167.08,20.58,57.02,46.90,32.70,14.77,1.57,45.00,10.58,9.56,NA,NA,0.31,0.38,20.39,82.43,0.66,138.04,0.00,0.00,51.11,1016.73,0.03
2025-01-11 00:00:00,84.88,203.83,46.28,82.07,82.79,45.03,9.38,2.49,32.76,18.58,18.28,NA,NA,0.63,0.86,20.69,81.24,0.59,178.47,0.00,0.00,50.22,1016.24,0.03
2025-01-12 00:00:00,92.44,221.22,63.25,76.39,108.35,48.19,7.25,2.86,34.59,23.00,25.27,NA,NA,1.14,1.42,21.53,77.84,0.53,169.76,0.00,0.00,47.38,1015.03,0.03
2025-01-13 00:00:00,81.22,182.27,36.59,94.26,77.36,31.77,12.42,2.13,31.05,15.20,13.60,NA,NA,0.68,0.92,22.13,75.45,0.52,203.93,0.00,0.00,48.17,1013.14,0.02
2025-01-14 00:00:00,84.10,154.69,35.50,85.94,95.40,28.17,21.62,1.29,31.81,18.08,19.50,NA,NA,1.12,1.24,22.48,74.06,0.72,144.75,0.00,0.00,48.05,1015.62,0.02
2025-01-15 00:00:00,65.22,124.37,17.47,71.44,52.00,26.43,11.67,0.65,42.76,8.61,10.74,NA,NA,0.28,0.36,22.17,75.28,0.69,141.62,0.00,0.00,49.80,1016.17,0.02
2025-01-16 00:00:00,62.71,126.50,29.52,65.95,58.88,26.73,24.23,0.83,29.68,10.83,12.21,NA,NA,0.35,0.47,21.06,79.74,0.56,148.75,0.00,0.00,53.34,1015.88,0.02
2025-01-17 00:00:00,58.45,120.93,43.85,71.14,73.25,27.28,14.08,1.01,30.53,12.66,12.86,NA,NA,0.58,0.65,21.97,76.10,0.55,181.84,0.00,0.00,49.29,1014.30,0.01
2025-01-18 00:00:00,63.72,130.69,53.67,77.31,91.24,28.05,15.11,1.28,33.05,9.74,9.57,NA,NA,0.50,0.52,22.24,75.04,0.54,186.13,0.00,0.00,49.29,1013.89,0.00
2025-01-19 00:00:00,60.40,122.55,40.40,75.48,76.29,27.41,11.90,0.99,42.48,0.00,1.35,NA,NA,0.12,0.21,22.44,74.23,0.60,192.34,0.00,0.00,49.47,1012.54,-0.02
2025-01-20 00:00:00,57.36,114.23,35.72,84.66,73.81,27.26,14.23,0.95,34.35,0.01,1.34,NA,NA,0.12,0.20,21.73,77.05,0.64,210.32,0.00,0.00,48.52,1010.92,0.02
2025-01-21 00:00:00,59.55,116.00,15.19,67.73,48.20,26.24,11.83,0.91,36.15,NA,NA,NA,NA,NA,NA,22.98,72.05,0.55,216.62,0.00,0.00,50.86,1009.97,0.02
2025-01-22 00:00:00,64.80,130.98,48.05,89.76,87.21,28.23,8.95,1.38,33.63,115.71,29.54,NA,NA,4.21,1.73,23.84,68.63,0.54,208.20,0.00,0.00,48.51,1010.62,0.02
2025-01-23 00:00:00,75.45,129.03,23.41,52.74,46.93,26.21,8.68,1.31,27.64,34.23,24.61,NA,NA,1.39,0.76,23.68,69.27,0.56,143.60,0.00,0.00,48.67,1011.18,0.03
2025-01-24 00:00:00,67.59,124.89,8.12,46.88,31.42,25.56,9.07,1.17,36.03,18.86,19.38,NA,NA,0.22,0.25,21.84,76.62,0.46,161.11,0.00,0.00,49.05,1010.71,0.01
2025-01-25 00:00:00,63.11,120.66,12.86,56.46,40.33,25.93,7.51,1.29,28.47,19.02,16.71,NA,NA,0.15,0.21,NA,NA,0.53,156.43,0.00,0.00,46.57,1011.78,0.03
2025-01-26 00:00:00,44.58,101.49,19.74,63.56,49.68,26.30,9.52,0.81,53.26,11.63,15.12,NA,NA,0.16,0.23,NA,NA,0.60,169.96,0.00,0.00,51.72,1011.45,0.03
2025-01-27 00:00:00,51.20,117.76,36.04,85.56,74.54,27.33,12.18,1.02,43.40,7.76,13.94,NA,NA,3.67,1.03,NA,NA,0.60,188.47,0.00,0.00,53.09,1009.64,0.04
2025-01-28 00:00:00,67.18,123.49,31.69,74.65,65.24,26.92,17.05,1.02,44.96,7.30,10.41,NA,NA,11.52,4.28,24.02,66.24,0.50,174.43,0.00,0.00,51.35,1010.95,0.02
2025-01-29 00:00:00,44.19,87.06,7.38,27.20,20.40,25.53,5.77,0.47,44.71,6.98,6.41,NA,NA,5.63,3.15,24.56,65.73,0.57,118.12,0.00,0.00,49.55,1012.69,0.02
2025-01-30 00:00:00,36.02,82.86,7.94,23.83,19.07,29.35,7.36,0.40,36.66,4.36,4.18,NA,NA,4.81,1.48,26.29,58.84,0.52,122.59,0.00,0.00,49.98,1008.91,0.02
2025-01-31 00:00:00,32.22,73.56,7.98,25.60,20.04,32.03,11.20,0.36,28.08,3.70,4.08,NA,NA,4.90,1.24,26.65,57.38,0.41,174.24,0.00,0.00,46.87,1008.90,0.02
2025-02-01 00:00:00,42.13,74.10,8.51,32.92,24.35,43.73,7.45,0.47,18.26,5.26,6.34,NA,NA,5.35,0.91,27.03,55.85,0.42,154.87,0.00,0.00,41.14,1009.72,0.00
2025-02-02 00:00:00,56.16,89.66,14.33,36.83,31.14,62.48,9.18,0.57,17.96,6.57,8.25,NA,NA,6.33,0.59,26.35,58.57,0.41,153.15,0.00,0.00,40.64,1009.95,0.03
2025-02-03 00:00:00,70.72,117.97,28.66,59.50,54.77,79.94,7.88,1.01,35.24,12.80,16.33,NA,NA,8.41,1.18,26.12,59.48,0.54,162.83,0.00,0.00,52.18,1010.80,0.01
2025-02-04 00:00:00,57.71,103.15,19.98,75.43,56.16,44.37,13.51,0.73,50.95,13.11,14.67,NA,NA,7.03,2.35,24.82,64.71,0.50,200.32,0.00,0.00,55.51,1010.72,0.02
2025-02-05 00:00:00,66.11,122.91,18.68,59.62,46.73,36.29,11.31,0.60,37.47,9.16,7.15,NA,NA,3.06,1.79,25.29,62.82,0.49,223.16,0.00,0.00,55.81,1009.05,0.02
2025-02-06 00:00:00,50.32,91.85,34.84,63.90,62.11,49.65,13.26,0.76,38.94,6.75,5.11,NA,NA,3.10,1.57,26.54,57.83,0.48,170.69,0.00,0.00,55.02,1010.01,0.02
2025-02-07 00:00:00,50.06,109.36,22.92,70.84,56.13,44.42,13.38,0.91,53.40,2.65,3.72,NA,NA,1.73,2.55,24.53,65.87,0.52,200.90,0.00,0.00,64.20,1012.10,0.03
2025-02-08 00:00:00,57.96,126.24,32.69,79.79,68.80,55.30,15.57,1.05,48.75,2.77,4.10,NA,NA,1.32,2.46,23.50,69.96,0.62,172.24,0.00,0.00,60.72,1012.38,0.02
2025-02-09 00:00:00,59.52,117.22,28.86,76.53,63.95,51.11,14.12,1.02,51.87,2.68,3.52,NA,NA,1.21,2.65,23.47,70.11,0.56,200.68,0.00,0.00,62.53,1011.43,0.04
2025-02-10 00:00:00,57.17,103.18,8.46,45.54,30.99,22.67,14.85,0.83,41.82,1.63,2.21,NA,NA,1.69,1.81,25.18,63.26,0.42,225.94,0.00,0.00,64.85,1011.52,0.02
2025-02-11 00:00:00,41.79,85.76,10.55,41.00,30.28,23.38,13.85,0.66,38.69,1.83,2.98,NA,NA,1.38,1.10,26.98,56.07,0.43,229.96,0.00,0.00,60.33,1010.24,0.03
2025-02-12 00:00:00,37.33,73.12,7.98,30.10,22.43,16.48,12.38,0.59,38.68,1.64,2.67,NA,NA,1.23,0.98,26.85,56.60,0.49,148.19,0.00,0.00,52.78,1010.01,0.02
2025-02-13 00:00:00,81.30,152.05,109.67,130.08,157.86,132.38,10.70,2.78,6.11,6.91,11.22,NA,NA,5.18,4.27,27.19,55.24,0.50,177.30,0.00,0.00,58.61,1009.23,0.02
2025-02-14 00:00:00,49.05,106.71,18.34,67.73,50.73,39.72,14.64,0.87,54.33,2.32,3.78,NA,NA,1.74,1.40,25.50,61.97,0.52,188.31,0.00,0.00,67.15,1010.17,0.02
2025-02-15 00:00:00,48.70,104.61,23.88,75.65,59.42,47.30,22.19,0.99,51.28,2.61,4.23,NA,NA,1.95,1.58,25.41,62.35,0.50,195.44,0.00,0.00,66.93,1009.80,0.02
2025-02-16 00:00:00,42.19,84.13,7.30,31.26,22.49,15.77,10.80,0.63,50.94,1.76,2.86,NA,NA,1.32,1.05,26.61,57.54,0.48,189.46,0.00,0.00,69.98,1009.83,0.02
2025-02-17 00:00:00,31.05,62.80,6.87,24.60,18.62,20.61,10.53,0.45,35.71,1.33,2.17,NA,NA,1.00,0.78,27.93,52.28,0.42,146.53,0.00,0.00,63.22,1011.30,0.02
2025-02-18 00:00:00,31.69,72.07,6.37,23.67,17.71,18.19,8.13,0.44,40.81,1.29,2.09,NA,NA,0.97,0.76,28.79,48.83,0.43,154.52,0.00,0.00,62.38,1010.91,0.02
2025-02-19 00:00:00,30.58,67.89,7.34,29.26,21.46,24.73,7.42,0.48,28.43,1.38,2.24,NA,NA,1.04,0.81,27.94,52.23,0.51,151.12,0.00,0.00,53.59,1010.43,0.02
2025-02-20 00:00:00,17.40,44.24,7.71,30.79,22.57,25.44,5.60,0.47,21.33,1.37,2.22,NA,NA,1.02,0.80,24.60,65.58,0.63,125.56,0.72,68.80,36.35,1011.96,0.02
2025-02-21 00:00:00,35.88,64.09,8.64,40.14,28.28,35.04,7.36,0.67,40.01,1.49,2.69,NA,NA,1.02,0.80,26.15,59.40,0.44,172.02,0.00,0.20,94.84,1012.78,0.03
2025-02-22 00:00:00,30.62,56.24,9.17,37.93,27.53,34.22,8.61,0.55,24.22,0.82,2.17,NA,NA,0.52,0.37,27.06,55.74,0.39,193.68,0.00,0.00,83.37,1012.52,0.00
2025-02-23 00:00:00,37.64,69.39,9.22,42.37,29.92,37.91,13.16,0.55,36.65,0.72,2.23,NA,NA,0.52,0.33,27.62,53.50,0.50,181.89,0.00,0.00,88.08,1013.31,0.02
2025-02-24 00:00:00,50.49,82.13,10.15,56.11,37.96,51.34,7.44,0.75,46.60,2.09,2.77,NA,NA,0.36,0.34,27.47,54.11,0.54,131.13,0.00,0.00,86.54,1014.47,0.02
2025-02-25 00:00:00,55.08,99.33,6.75,48.98,31.42,40.24,12.07,0.71,51.80,2.06,3.41,NA,NA,0.28,0.64,27.74,53.00,0.58,145.88,0.00,0.00,72.60,1015.52,0.02
2025-02-26 00:00:00,46.99,99.33,6.93,53.57,33.99,44.60,12.22,0.69,69.46,2.84,4.11,NA,NA,0.25,0.98,27.45,54.19,0.52,158.05,0.00,0.00,82.37,1015.49,0.01
2025-02-27 00:00:00,57.98,108.97,8.96,42.80,30.62,38.01,12.46,0.75,52.32,3.50,6.29,NA,NA,0.24,1.46,27.00,55.97,0.46,195.09,0.00,0.00,79.45,1013.07,0.01
