Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,120.86,189.08,11.79,25.52,23.16,22.02,19.15,1.25,12.33,2.52,10.31,1.17,NA,1.90,1.70,10.19,77.46,0.36,250.57,0.00,0.00,19.64,NA,NA
2025-01-02 00:00:00,108.69,173.90,8.68,24.61,20.15,23.31,17.38,1.37,9.56,3.09,11.01,1.59,NA,2.32,1.92,10.99,78.94,0.33,252.82,0.00,0.00,26.50,NA,NA
2025-01-03 00:00:00,175.18,280.07,43.10,36.20,54.30,36.32,16.70,2.01,7.31,5.92,27.81,4.89,NA,6.98,5.68,12.10,79.88,0.26,208.23,0.00,0.00,26.14,NA,NA
2025-01-04 00:00:00,176.84,243.13,72.82,37.18,78.98,37.44,13.34,2.31,10.09,7.11,29.40,5.26,NA,6.89,6.74,12.44,77.89,0.33,162.57,0.00,0.00,32.67,NA,NA
2025-01-05 00:00:00,115.58,179.43,58.54,37.66,67.63,28.56,13.04,1.38,16.94,3.64,16.04,3.24,NA,3.34,4.64,13.94,66.65,0.42,170.73,0.00,0.00,35.70,NA,NA
2025-01-06 00:00:00,152.26,213.71,11.40,31.66,26.11,34.91,15.30,1.30,21.47,3.37,10.40,1.59,NA,2.31,2.03,14.52,68.55,0.38,234.93,0.00,0.00,32.24,NA,NA
2025-01-07 00:00:00,137.75,197.55,4.14,20.04,14.03,47.55,16.43,1.39,20.07,2.78,7.91,1.30,NA,1.71,1.62,12.73,77.52,0.43,280.91,0.08,8.00,21.83,NA,NA
2025-01-08 00:00:00,143.11,199.73,24.83,30.56,36.44,45.15,15.51,1.56,27.85,3.07,14.66,2.49,NA,3.35,2.87,11.91,68.74,0.40,258.64,0.00,0.00,32.82,NA,NA
2025-01-09 00:00:00,211.37,316.38,91.67,40.37,96.01,38.22,15.66,2.09,16.98,4.63,20.15,4.18,NA,5.01,5.61,11.42,72.62,0.30,155.90,0.00,0.00,33.38,NA,NA
2025-01-10 00:00:00,237.69,363.35,111.64,41.26,112.71,31.81,15.58,2.07,8.13,5.49,25.63,5.45,NA,5.71,6.59,10.59,77.59,0.28,147.19,0.00,0.00,24.41,NA,NA
2025-01-11 00:00:00,149.34,222.02,33.70,33.57,45.25,26.99,9.82,1.04,20.49,3.37,13.92,2.55,NA,3.24,3.28,13.19,67.21,0.42,181.53,0.01,1.00,28.66,NA,NA
2025-01-12 00:00:00,102.52,137.08,27.72,34.10,40.68,24.78,14.46,1.24,18.07,2.44,11.26,1.78,NA,2.36,2.65,13.22,74.50,0.26,166.07,0.40,38.00,31.12,NA,NA
2025-01-13 00:00:00,91.85,125.55,9.85,31.89,24.74,24.22,11.09,1.09,17.16,1.87,7.39,1.29,NA,2.34,1.80,14.20,61.89,0.38,273.38,0.00,0.00,36.35,NA,NA
2025-01-14 00:00:00,112.63,155.35,8.41,34.76,25.33,39.03,16.46,1.14,24.28,2.35,8.76,1.16,NA,1.68,1.65,13.92,62.94,0.35,255.48,0.00,0.00,45.44,NA,NA
