lat,lon,AQI
8.0,68.0,109.084
8.0,68.25,108.70474
8.0,68.5,105.74869
8.0,68.75,106.170944
8.0,69.0,113.73424
8.0,69.25,110.8922
8.0,69.5,109.921715
8.0,69.75,111.50507
8.0,70.0,105.69762
8.0,70.25,104.676254
8.0,70.5,106.05143
8.0,70.75,103.32686
8.0,71.0,107.103806
8.0,71.25,110.365395
8.0,71.5,105.7584
8.0,71.75,110.44853
8.0,72.0,101.38255
8.0,72.25,106.58695
8.0,72.5,110.37355
8.0,72.75,110.53925
8.0,73.0,103.31067
8.0,73.25,102.26564
8.0,73.5,104.91034
8.0,73.75,111.18572
8.0,74.0,101.759155
8.0,74.25,108.1361
8.0,74.5,115.0691
8.0,74.75,106.63895
8.0,75.0,109.965164
8.0,75.25,110.93332
8.0,75.5,116.4169
8.0,75.75,120.02255
8.0,76.0,117.04901
8.0,76.25,110.483536
8.0,76.5,112.73235
8.0,76.75,104.38127
8.0,77.0,113.57232
8.0,77.25,109.04479
8.0,77.5,106.07444
8.0,77.75,116.09625
8.0,78.0,109.276505
8.0,78.25,103.991806
8.0,78.5,108.74703
8.0,78.75,110.35277
8.0,79.0,115.81225
8.0,79.25,117.35043
8.0,79.5,105.983185
8.0,79.75,115.156204
8.0,80.0,120.88658
8.0,80.25,119.17213
8.0,80.5,122.24578
8.0,80.75,126.63127
8.0,81.0,122.477974
8.0,81.25,116.498634
8.0,81.5,106.84247
8.0,81.75,110.2487
8.0,82.0,106.16028
8.0,82.25,108.22495
8.0,82.5,108.09473
8.0,82.75,120.15848
8.0,83.0,114.16139
8.0,83.25,116.26276
8.0,83.5,115.17573
8.0,83.75,116.48504
8.0,84.0,110.85966
8.0,84.25,116.23298
8.0,84.5,111.608894
8.0,84.75,109.42658
8.0,85.0,112.87461
8.0,85.25,106.64721
8.0,85.5,106.22491
8.0,85.75,102.902405
8.0,86.0,106.33459
8.0,86.25,107.37778
8.0,86.5,104.318756
8.0,86.75,96.5038
8.0,87.0,101.57639
8.0,87.25,98.378044
8.0,87.5,111.76635
8.0,87.75,108.21685
8.0,88.0,106.98778
8.0,88.25,107.81758
8.0,88.5,112.74518
8.0,88.75,112.11728
8.0,89.0,114.29943
8.0,89.25,112.79778
8.0,89.5,109.732895
8.0,89.75,111.27589
8.0,90.0,109.08916
8.0,90.25,111.03214
8.0,90.5,116.12207
8.0,90.75,117.43389
8.0,91.0,120.288994
8.0,91.25,116.22339
8.0,91.5,111.580246
8.0,91.75,115.77007
8.0,92.0,115.471596
8.0,92.25,115.882286
8.0,92.5,109.43025
8.0,92.75,110.64999
8.0,93.0,110.20156
8.0,93.25,112.08699
8.0,93.5,109.39787
8.0,93.75,108.85173
8.0,94.0,106.80967
8.0,94.25,107.23334
8.0,94.5,109.32637
8.0,94.75,106.82394
8.0,95.0,107.66574
8.0,95.25,109.561584
8.0,95.5,106.2812
8.0,95.75,105.595116
8.0,96.0,110.839455
8.0,96.25,108.94444
8.0,96.5,109.75513
8.0,96.75,106.05356
8.0,97.0,111.86442
8.0,97.25,111.60633
8.25,68.0,107.642914
8.25,68.25,112.021324
8.25,68.5,108.22951
8.25,68.75,105.18806
8.25,69.0,107.20202
8.25,69.25,108.600174
8.25,69.5,111.40216
8.25,69.75,111.41434
8.25,70.0,104.77408
8.25,70.25,108.54609
8.25,70.5,108.37398
8.25,70.75,106.743546
8.25,71.0,111.49736
8.25,71.25,105.88254
8.25,71.5,108.910576
8.25,71.75,109.88037
8.25,72.0,109.25763
8.25,72.25,108.667946
8.25,72.5,109.26741
8.25,72.75,109.44851
8.25,73.0,105.12284
8.25,73.25,105.79752
8.25,73.5,106.03909
8.25,73.75,103.02521
8.25,74.0,103.86522
8.25,74.25,110.58202
8.25,74.5,105.28385
8.25,74.75,106.143814
8.25,75.0,108.83179
8.25,75.25,124.43147
8.25,75.5,100.71687
8.25,75.75,118.47564
8.25,76.0,116.91091
8.25,76.25,109.79555
8.25,76.5,109.52031
8.25,76.75,96.50788
8.25,77.0,102.953186
8.25,77.25,107.81097
8.25,77.5,116.96618
8.25,77.75,114.1956
8.25,78.0,115.40463
8.25,78.25,109.07318
8.25,78.5,112.917274
8.25,78.75,110.95584
8.25,79.0,116.165276
8.25,79.25,110.37902
8.25,79.5,112.55875
8.25,79.75,118.91119
8.25,80.0,123.35148
8.25,80.25,119.395874
8.25,80.5,124.96075
8.25,80.75,122.89992
8.25,81.0,118.468834
8.25,81.25,117.392914
8.25,81.5,116.69151
8.25,81.75,113.99558
8.25,82.0,118.66083
8.25,82.25,116.062805
8.25,82.5,116.97473
8.25,82.75,106.05383
8.25,83.0,115.59923
8.25,83.25,110.04806
8.25,83.5,112.200714
8.25,83.75,111.662994
8.25,84.0,110.0094
8.25,84.25,105.5219
8.25,84.5,109.87079
8.25,84.75,116.14252
8.25,85.0,112.064835
8.25,85.25,111.9704
8.25,85.5,111.81239
8.25,85.75,104.04974
8.25,86.0,101.320786
8.25,86.25,104.00725
8.25,86.5,104.19797
8.25,86.75,100.136
8.25,87.0,100.82821
8.25,87.25,102.52974
8.25,87.5,109.33091
8.25,87.75,110.74675
8.25,88.0,112.78235
8.25,88.25,105.663376
8.25,88.5,122.66309
8.25,88.75,116.03168
8.25,89.0,116.6839
8.25,89.25,111.28876
8.25,89.5,108.82319
8.25,89.75,112.41964
8.25,90.0,109.48243
8.25,90.25,113.04086
8.25,90.5,114.54242
8.25,90.75,115.10345
8.25,91.0,115.679245
8.25,91.25,120.02779
8.25,91.5,116.5809
8.25,91.75,119.3353
8.25,92.0,115.94938
8.25,92.25,113.3078
8.25,92.5,110.57613
8.25,92.75,109.90248
8.25,93.0,107.16937
8.25,93.25,112.657234
8.25,93.5,112.560326
8.25,93.75,107.76151
8.25,94.0,109.79414
8.25,94.25,108.039925
8.25,94.5,111.854324
8.25,94.75,111.9186
8.25,95.0,110.76731
8.25,95.25,111.25497
8.25,95.5,108.478714
